,Number of votes in total,Number of votings when MEP was present,Presence (%),Particiation (%),Number of 'wrong votes',Share of votes that were 'wrong' (of the votings where the MEP was present),Number of corrected votes in total,Share of votes that were corrected (of the votings where the MEP was present),European political group,Member State
Cláudia MONTEIRO DE AGUIAR,10049,7053.0,0.7018608816797691,0.6484227286297144,50.0,0.00708918190840777,139.0,0.0197079257053736,EPP,Portugal
Olle LUDVIGSSON,10049,10035.0,0.9986068265499055,0.9781072743556573,71.0,0.007075236671649228,71.0,0.007075236671649228,S&D,Sweden
Mara BIZZOTTO,10049,10043.0,0.9994029256642452,0.9919394964673102,71.0,0.007069600716917256,83.0,0.008264462809917356,ENF,Italy
Clara Eugenia AGUILERA GARCÍA,10049,9870.0,0.9821872823166484,0.9650711513583441,69.0,0.006990881458966565,69.0,0.006990881458966565,S&D,Spain
João FERREIRA,10049,9086.0,0.9041695691113544,0.8617772912727635,63.0,0.006933744221879815,69.0,0.007594100814439797,GUE-NGL,Portugal
Nadine MORANO,10049,9600.0,0.9553189372076824,0.9349188974027266,65.0,0.0067708333333333336,93.0,0.0096875,EPP,France
Joëlle MÉLIN,10049,9409.0,0.9363120708528212,0.8519255647328092,63.0,0.0066957168668296315,73.0,0.0077585290679137,ENF,France
Nessa CHILDERS,10049,9198.0,0.9153149567121106,0.8906358841675789,61.0,0.006631876494890193,62.0,0.006740595781691672,S&D,Ireland
Miguel VIEGAS,10049,9765.0,0.9717384814409394,0.9465618469499453,64.0,0.006554019457245264,70.0,0.007168458781362007,GUE-NGL,Portugal
Jean-François JALKH,10049,8712.0,0.8669519355159717,0.7842571400139318,57.0,0.0065426997245179065,61.0,0.007001836547291093,ENF,France
Marita ULVSKOG,10049,9072.0,0.9027763956612598,0.8620758284406409,59.0,0.00650352733686067,59.0,0.00650352733686067,S&D,Sweden
Marco VALLI,10049,9973.0,0.9924370584137725,0.9877599761170266,64.0,0.006417326782312243,94.0,0.009425448711521107,EFDD,Italy
Andrzej DUDA,908,624.0,0.6872246696035242,0.6762114537444934,4.0,0.00641025641025641,4.0,0.00641025641025641,ECR,Poland
Gunnar HÖKMARK,10049,9710.0,0.9662653000298537,0.8826748930241816,62.0,0.006385169927909372,66.0,0.006797116374871267,EPP,Sweden
Csaba SÓGOR,10049,9616.0,0.9569111354363619,0.9477559956214548,61.0,0.006343594009983361,62.0,0.006447587354409318,EPP,Romania
Bruno GOLLNISCH,10049,9321.0,0.9275549805950841,0.8651607125087073,59.0,0.006329792940671602,60.0,0.006437077566784679,NI,France
Frédérique RIES,10049,9638.0,0.9591004080007961,0.9376057319136233,61.0,0.006329113924050633,62.0,0.006432869890018676,ALDE/ADLE,Belgium
Philippe JUVIN,10049,8886.0,0.884267091252861,0.8446611603144591,56.0,0.006302048165653837,62.0,0.006977267611973891,EPP,France
Eva MAYDELL,10049,8589.0,0.8547119116329983,0.8072445019404916,54.0,0.0062871114215857496,57.0,0.006636395389451624,EPP,Bulgaria
Sirpa PIETIKÄINEN,10049,8758.0,0.8715295054234252,0.799880585132849,55.0,0.006279972596483215,56.0,0.0063941539164192734,EPP,Finland
María Teresa GIMÉNEZ BARBAT  This person became MEP later than the general start of the term.,7891,7504.0,0.9509567862121404,0.9249778228361425,47.0,0.006263326226012793,47.0,0.006263326226012793,ALDE/ADLE,Spain
Momchil NEKOV,10049,9740.0,0.9692506717086278,0.9414867150960294,61.0,0.006262833675564682,61.0,0.006262833675564682,S&D,Bulgaria
Juan Carlos GIRAUTA VIDAL,2520,2114.0,0.8388888888888889,0.8150793650793651,13.0,0.006149479659413435,13.0,0.006149479659413435,ALDE/ADLE,Spain
Dominique BILDE,10049,9795.0,0.9747238531197134,0.9489501442929644,60.0,0.006125574272588055,81.0,0.008269525267993875,ENF,France
Stelios KOULOGLOU  This person became MEP later than the general start of the term.,9721,9663.0,0.994033535644481,0.8428145252546034,59.0,0.006105764255407224,93.0,0.009624340266997827,GUE-NGL,Greece
Ashley FOX,10049,9703.0,0.9655687133048064,0.9272564434272067,59.0,0.006080593630835824,59.0,0.006080593630835824,ECR,United Kingdom
Dimitrios PAPADIMOULIS,10049,10042.0,0.9993034132749528,0.8426709125286098,61.0,0.006074487153953396,62.0,0.006174068910575582,GUE-NGL,Greece
Martina ANDERSON,10049,8876.0,0.8832719673599363,0.855707035525923,53.0,0.005971158179360072,89.0,0.010027039206849933,GUE-NGL,United Kingdom
Marie-Christine ARNAUTU,10049,9884.0,0.9835804557667429,0.9591004080007961,59.0,0.0059692432213678676,66.0,0.006677458518818292,ENF,France
Franck PROUST,10049,9529.0,0.9482535575679172,0.9025773708826749,56.0,0.005876797145555672,129.0,0.013537621996012173,EPP,France
Elisabeth KÖSTINGER,6071,5806.0,0.9563498599901169,0.9469609619502554,34.0,0.0058560110230795725,43.0,0.007406131588012401,EPP,Austria
Lynn BOYLAN,10049,8304.0,0.8263508806846452,0.7941088665538859,48.0,0.005780346820809248,64.0,0.007707129094412331,GUE-NGL,Ireland
Pervenche BERÈS,10049,9755.0,0.9707433575480148,0.8765051248880485,54.0,0.005535622757560226,58.0,0.005945668887749872,S&D,France
Dominique MARTIN,10049,9945.0,0.9896507115135834,0.9491491690715494,55.0,0.005530417295123178,59.0,0.0059326294620412265,ENF,France
Tokia SAÏFI,10049,9773.0,0.9725345805552791,0.9605930938401831,54.0,0.005525427197380538,58.0,0.005934718100890208,EPP,France
Sylvie GODDYN,10049,9597.0,0.9550204000398049,0.9192954522838094,53.0,0.005522559133062415,64.0,0.00666875065124518,EFDD,France
Edouard FERRAND,6472,5994.0,0.9261433868974042,0.8674289245982695,33.0,0.0055055055055055055,40.0,0.00667334000667334,ENF,France
Alain CADEC,10049,9842.0,0.9794009354164593,0.9591999203900886,54.0,0.005486689697216013,61.0,0.0061979272505588295,EPP,France
Jana ŽITŇANSKÁ,10049,8246.0,0.8205791621056822,0.8040601054831327,45.0,0.005457191365510551,45.0,0.005457191365510551,ECR,Slovakia
Andrey KOVATCHEV,10049,9979.0,0.9930341327495273,0.9442730619962185,54.0,0.005411363864114641,54.0,0.005411363864114641,EPP,Bulgaria
Marie-Christine BOUTONNET,10049,9375.0,0.9329286496168773,0.8805851328490397,50.0,0.005333333333333333,53.0,0.005653333333333333,ENF,France
Pablo IGLESIAS,1787,1691.0,0.9462786793508674,0.9350867375489648,9.0,0.005322294500295683,16.0,0.009461856889414548,GUE-NGL,Spain
Janusz WOJCIECHOWSKI,3246,3008.0,0.9266789895255699,0.8638324091189156,16.0,0.005319148936170213,16.0,0.005319148936170213,ECR,Poland
Michel DANTIN,10049,9822.0,0.97741068763061,0.902179321325505,52.0,0.005294237426186113,56.0,0.0057014864589696596,EPP,France
Louis MICHEL,10049,9643.0,0.9595979699472584,0.939695492088765,51.0,0.005288810536140206,55.0,0.005703619205641398,ALDE/ADLE,Belgium
Tania GONZÁLEZ PEÑAS  This person became MEP later than the general start of the term.,10010,9884.0,0.9874125874125874,0.9763236763236763,52.0,0.005261027923917442,56.0,0.0056657223796034,GUE-NGL,Spain
Inés AYALA SENDER,10049,9697.0,0.9649716389690517,0.9408896407602747,51.0,0.005259358564504486,51.0,0.005259358564504486,S&D,Spain
Manolis KEFALOGIANNIS,10049,9267.0,0.9221813115732909,0.7837595780674694,48.0,0.005179669796050502,48.0,0.005179669796050502,EPP,Greece
Nikos ANDROULAKIS,10049,9568.0,0.9521345407503234,0.8793909841775301,49.0,0.00512123745819398,50.0,0.005225752508361204,S&D,Greece
Dita CHARANZOVÁ,10049,10035.0,0.9986068265499055,0.9849736292168375,51.0,0.005082212257100149,69.0,0.0068759342301943195,ALDE/ADLE,Czech Republic
Sander LOONES  This person became MEP later than the general start of the term.,7919,6914.0,0.8730900366207854,0.849981058214421,35.0,0.00506219265258895,37.0,0.005351460804165461,ECR,Belgium
David CAMPBELL BANNERMAN,10049,8339.0,0.8298338143098816,0.7657478356055328,42.0,0.00503657512891234,42.0,0.00503657512891234,ECR,United Kingdom
Annie SCHREIJER-PIERIK,10049,9139.0,0.9094437257438551,0.8986963877002687,46.0,0.005033373454426086,47.0,0.005142794616478827,EPP,Netherlands
Marisa MATIAS,10049,9313.0,0.9267588814807444,0.9100408000796099,46.0,0.004939332116396435,46.0,0.004939332116396435,GUE-NGL,Portugal
Fabio DE MASI,5825,4884.0,0.8384549356223175,0.7970815450643777,24.0,0.004914004914004914,24.0,0.004914004914004914,GUE-NGL,Germany
Marc JOULAUD,10049,8751.0,0.870832918698378,0.8140113444123793,43.0,0.004913724145811907,44.0,0.005027996800365673,EPP,France
Ryszard CZARNECKI,10049,9574.0,0.9527316150860782,0.9059607921186188,47.0,0.00490912889074577,48.0,0.005013578441612701,ECR,Poland
Sophie MONTEL,10049,9579.0,0.9532291770325405,0.9093442133545626,47.0,0.004906566447437102,55.0,0.0057417266938093745,NI,France
Dario TAMBURRANO,10049,8815.0,0.8772017116130958,0.86446412578366,43.0,0.004878048780487805,72.0,0.008167895632444697,EFDD,Italy
Jean-Marie LE PEN,10049,3544.0,0.3526719076525027,0.26102099711414073,17.0,0.004796839729119639,18.0,0.005079006772009029,NI,France
Ádám KÓSA,10049,8780.0,0.8737187779878595,0.8463528709324311,42.0,0.004783599088838269,42.0,0.004783599088838269,EPP,Hungary
Arne GERICKE,10049,9854.0,0.9805950840879689,0.8670514479052642,47.0,0.004769636695758068,47.0,0.004769636695758068,ECR,Germany
Angélique DELAHAYE,10049,9889.0,0.9840780177132052,0.9653696885262215,47.0,0.004752755587015876,52.0,0.005258367883506927,EPP,France
Bernard MONOT,10049,9717.0,0.966961886754901,0.9080505522937605,46.0,0.004733971390346815,60.0,0.006174745291756715,EFDD,France
Thierry CORNILLET  This person became MEP later than the general start of the term.,4687,4248.0,0.9063366759120973,0.7563473437166631,20.0,0.004708097928436911,21.0,0.0049435028248587575,ALDE/ADLE,France
Liadh NÍ RIADA,10049,8104.0,0.8064484028261518,0.7258433674992537,38.0,0.004689042448173741,50.0,0.006169792694965449,GUE-NGL,Ireland
José Ignacio SALAFRANCA SÁNCHEZ-NEYRA  This person became MEP later than the general start of the term.,5357,5123.0,0.9563188351689378,0.9251446705245473,24.0,0.004684755026351747,25.0,0.004879953152449736,EPP,Spain
Enrico GASBARRA,10049,8539.0,0.849736292168375,0.7500248780973231,40.0,0.004684389272748566,43.0,0.0050357184682047074,S&D,Italy
Gerolf ANNEMANS,10049,9672.0,0.96248382923674,0.921783262016121,45.0,0.004652605459057072,46.0,0.004755996691480562,ENF,Belgium
Gilles LEBRETON,10049,9925.0,0.9876604637277341,0.9554184495969749,46.0,0.004634760705289673,49.0,0.0049370277078085644,ENF,France
Helga STEVENS,10049,9972.0,0.9923375460244801,0.975918001791223,46.0,0.004612916165262736,47.0,0.0047131969514641,ECR,Belgium
Ulrike LUNACEK,6071,5858.0,0.9649151704826223,0.9250535331905781,27.0,0.004609081597814954,42.0,0.007169682485489928,Greens/EFA,Austria
Sylvie GUILLAUME,10049,10002.0,0.9953229177032541,0.9359140212956513,46.0,0.004599080183963208,60.0,0.00599880023995201,S&D,France
Steeve BRIOIS,10049,9649.0,0.9601950442830133,0.8978007761966365,44.0,0.0045600580371022905,50.0,0.005181884133070785,ENF,France
Julie WARD,10049,9882.0,0.983381430988158,0.9555179619862673,45.0,0.004553734061930784,47.0,0.004756122242461041,S&D,United Kingdom
Matt CARTHY,10049,9468.0,0.9421833018210767,0.9155139814906956,43.0,0.004541613857203211,57.0,0.006020278833967047,GUE-NGL,Ireland
Marie-Christine VERGIAT,10049,9705.0,0.9657677380833913,0.9086476266295154,44.0,0.004533745492014425,82.0,0.00844925296239052,GUE-NGL,France
Estefanía TORRES MARTÍNEZ  This person became MEP later than the general start of the term.,9527,6878.0,0.7219481473706308,0.6621181904062139,31.0,0.004507124164001163,46.0,0.006687990694969468,GUE-NGL,Spain
Franz OBERMAYR,10049,9789.0,0.9741267787839586,0.9324310876704149,44.0,0.004494841148227602,47.0,0.004801307590152211,ENF,Austria
Heinz K. BECKER,10049,9819.0,0.9771121504627326,0.9424818389889541,44.0,0.004481108055810164,51.0,0.005194011610143599,EPP,Austria
Marlene MIZZI,10049,9602.0,0.9555179619862673,0.9155139814906956,43.0,0.004478233701312227,72.0,0.007498437825453031,S&D,Malta
Julie GIRLING,10049,8971.0,0.8927256443427206,0.7997810727435566,40.0,0.004458811726674841,40.0,0.004458811726674841,EPP,United Kingdom
Fulvio MARTUSCIELLO,10049,9256.0,0.9210866752910737,0.8197830629913424,41.0,0.004429559204840104,43.0,0.004645635263612792,EPP,Italy
Xabier BENITO ZILUAGA  This person became MEP later than the general start of the term.,7891,7726.0,0.979090102648587,0.9650234444303637,34.0,0.004400724825265338,34.0,0.004400724825265338,GUE-NGL,Spain
Sergio GUTIÉRREZ PRIETO,10049,8918.0,0.88745148771022,0.8089362125584635,39.0,0.004373177842565598,41.0,0.004597443372953577,S&D,Spain
Iratxe GARCÍA PÉREZ,10049,9891.0,0.9842770424917903,0.9309384018310279,43.0,0.004347386512991608,43.0,0.004347386512991608,S&D,Spain
Dariusz ROSATI,10049,9662.0,0.9614887053438153,0.9242710717484327,42.0,0.004346926102256262,42.0,0.004346926102256262,EPP,Poland
Geoffroy DIDIER  This person became MEP later than the general start of the term.,3857,3709.0,0.9616282084521649,0.8426238008815141,16.0,0.004313831221353465,16.0,0.004313831221353465,EPP,France
Anna HEDH,10049,8689.0,0.864663150562245,0.8078415762762464,37.0,0.0042582575670387845,37.0,0.0042582575670387845,S&D,Sweden
Maria Lidia SENRA RODRÍGUEZ,10049,9673.0,0.9625833416260324,0.9213852124589511,41.0,0.004238602295048072,64.0,0.006616354802026258,GUE-NGL,Spain
Jadwiga WIŚNIEWSKA,10049,9472.0,0.9425813513782466,0.9030749328291372,40.0,0.004222972972972973,42.0,0.0044341216216216214,ECR,Poland
Aleksander GABELIC  This person became MEP later than the general start of the term.,3134,3085.0,0.9843650287172941,0.9537332482450542,13.0,0.004213938411669368,13.0,0.004213938411669368,S&D,Sweden
Jean-Luc SCHAFFHAUSER,10049,9969.0,0.9920390088566027,0.940093541645935,42.0,0.004213060487511285,43.0,0.004313371451499649,ENF,France
Mairead McGUINNESS,10049,9569.0,0.9522340531396158,0.8690416956911136,40.0,0.004180165116522102,122.0,0.012749503605392414,EPP,Ireland
Lukas MANDL  This person became MEP later than the general start of the term.,3886,3845.0,0.9894493051981472,0.953937210499228,16.0,0.004161248374512354,19.0,0.00494148244473342,EPP,Austria
Malin BJÖRK,10049,9650.0,0.9602945566723057,0.9450691611105583,40.0,0.004145077720207254,40.0,0.004145077720207254,GUE-NGL,Sweden
Alain LAMASSOURE,10049,9900.0,0.9851726539954224,0.9568116230470693,41.0,0.004141414141414141,41.0,0.004141414141414141,EPP,France
Elena VALENCIANO,10049,9215.0,0.9170066673300826,0.7978903373469997,38.0,0.004123711340206186,38.0,0.004123711340206186,S&D,Spain
Jens NILSSON,6673,6063.0,0.9085868424996254,0.8757680203806384,25.0,0.0041233712683490025,25.0,0.0041233712683490025,S&D,Sweden
Arndt KOHN  This person became MEP later than the general start of the term.,5093,4856.0,0.9534655409385431,0.93010013744355,20.0,0.004118616144975288,20.0,0.004118616144975288,S&D,Germany
Teresa JIMÉNEZ-BECERRIL BARRIO,10049,8773.0,0.8730221912628122,0.7823664046173748,36.0,0.004103499373076485,37.0,0.004217485466773053,EPP,Spain
Mylène TROSZCZYNSKI,10049,9862.0,0.9813911832023087,0.9541247885361728,40.0,0.004055972419387548,40.0,0.004055972419387548,ENF,France
Margot PARKER,10049,7708.0,0.7670414966663349,0.705443327694298,31.0,0.004021795537104307,31.0,0.004021795537104307,EFDD,United Kingdom
Elisabeth MORIN-CHARTIER,10049,9956.0,0.9907453477958006,0.9659667628619764,40.0,0.004017677782241864,45.0,0.004519887505022097,EPP,France
Ivo BELET,10049,9043.0,0.8998905363717783,0.849338242611205,36.0,0.00398097976335287,37.0,0.004091562534557116,EPP,Belgium
Marielle de SARNEZ,5362,5276.0,0.9839612085042895,0.9235359940320775,21.0,0.003980288097043215,24.0,0.004548900682335102,ALDE/ADLE,France
Baroness Nosheena MOBARIK  This person became MEP later than the general start of the term.,4430,4277.0,0.9654627539503386,0.8604966139954854,17.0,0.00397474865559972,17.0,0.00397474865559972,ECR,United Kingdom
Harald VILIMSKY,10049,9613.0,0.9566125982684844,0.930739377052443,38.0,0.003952980339124103,59.0,0.00613752210548216,ENF,Austria
Virginie ROZIÈRE,10049,9133.0,0.9088466514081003,0.8619763160513484,36.0,0.00394174969889412,37.0,0.004051242746085624,S&D,France
Sajjad KARIM,10049,7703.0,0.7665439347198726,0.7180814011344412,30.0,0.0038945865247306246,31.0,0.004024406075554978,ECR,United Kingdom
Linda McAVAN,10049,9251.0,0.9205891133446114,0.8297343019205892,36.0,0.0038914711923035347,38.0,0.004107664036320398,S&D,United Kingdom
Anne SANDER,10049,10049.0,1.0,0.9977112150462732,39.0,0.0038809831824062097,39.0,0.0038809831824062097,EPP,France
Jytte GUTELAND,10049,8435.0,0.8393870036819584,0.8163996417553986,32.0,0.003793716656787196,32.0,0.003793716656787196,S&D,Sweden
Petri SARVAMAA,10049,8987.0,0.8943178425714001,0.8573987461438949,34.0,0.0037832424613330365,35.0,0.003894514298431067,EPP,Finland
Philippe LOISEAU,10049,9800.0,0.9752214150661758,0.9476564832321624,37.0,0.003775510204081633,44.0,0.004489795918367347,ENF,France
Jean-Marie CAVADA,10049,9817.0,0.9769131256841477,0.9182008160015922,37.0,0.0037689721910970763,37.0,0.0037689721910970763,ALDE/ADLE,France
Othmar KARAS,10049,9821.0,0.9773111752413175,0.9631804159617873,37.0,0.0037674371245290704,65.0,0.006618470624172691,EPP,Austria
Kateřina KONEČNÁ,10049,8596.0,0.8554084983580456,0.8349089461637974,32.0,0.0037226617031177293,32.0,0.0037226617031177293,GUE-NGL,Czech Republic
Branislav ŠKRIPEK,10049,10013.0,0.9964175539854712,0.9616877301224003,37.0,0.003695196244881654,40.0,0.00399480675122341,ECR,Slovakia
Aymeric CHAUPRADE,10049,9762.0,0.971439944273062,0.9304408398845656,36.0,0.0036877688998156115,37.0,0.00379020692481049,EFDD,France
Sylvie GOULARD,5362,4920.0,0.917568071615069,0.8651622528907125,18.0,0.003658536585365854,28.0,0.005691056910569106,ALDE/ADLE,France
Aleksejs LOSKUTOVS  This person became MEP later than the general start of the term.,1095,1095.0,1.0,0.9707762557077626,4.0,0.0036529680365296802,4.0,0.0036529680365296802,EPP,Latvia
Miapetra KUMPULA-NATRI,10049,9335.0,0.9289481540451786,0.8759080505522938,34.0,0.003642206748794858,34.0,0.003642206748794858,S&D,Finland
Tom VANDENKENDELAERE  This person became MEP later than the general start of the term.,9909,9340.0,0.9425774548390352,0.9206781713593702,34.0,0.0036402569593147753,44.0,0.004710920770877944,EPP,Belgium
Sotirios ZARIANOPOULOS,10049,8816.0,0.8773012240023883,0.7301224002388297,32.0,0.003629764065335753,65.0,0.007372958257713249,NI,Greece
Guillaume BALAS,10049,9944.0,0.989551199124291,0.9655687133048064,36.0,0.0036202735317779565,36.0,0.0036202735317779565,S&D,France
Andrea BOCSKOR,10049,9823.0,0.9775102000199025,0.957806746939994,35.0,0.003563066273032678,36.0,0.003664868166547898,EPP,Hungary
Elly SCHLEIN,10049,9857.0,0.9808936212558463,0.9558164991541447,35.0,0.0035507760982043217,36.0,0.0036522268438673026,S&D,Italy
Jakop DALUNDE  This person became MEP later than the general start of the term.,6672,6488.0,0.9724220623501199,0.9419964028776978,23.0,0.0035450061652281136,24.0,0.0036991368680641184,Greens/EFA,Sweden
Massimo PAOLUCCI,10049,9059.0,0.9014827346004578,0.8398845656284207,32.0,0.0035323987195054643,32.0,0.0035323987195054643,S&D,Italy
Maria Gabriela ZOANĂ  This person became MEP later than the general start of the term.,3577,3406.0,0.9521945764607213,0.7665641599105396,12.0,0.0035231943628890195,12.0,0.0035231943628890195,S&D,Romania
Krzysztof HETMAN,10049,9749.0,0.9701462832122599,0.9471589212857001,34.0,0.0034875371833008512,34.0,0.0034875371833008512,EPP,Poland
Theodoros ZAGORAKIS,10049,6899.0,0.6865359737287292,0.6011543437157926,24.0,0.003478765038411364,30.0,0.004348456298014205,EPP,Greece
Norbert LINS,10049,9805.0,0.9757189770126381,0.9286496168773012,34.0,0.0034676185619581844,34.0,0.0034676185619581844,EPP,Germany
Karoline GRASWANDER-HAINZ  This person became MEP later than the general start of the term.,8849,8671.0,0.9798847327381625,0.9671149282404792,30.0,0.0034598085572598316,30.0,0.0034598085572598316,S&D,Austria
Javier COUSO PERMUY  This person became MEP later than the general start of the term.,10049,9278.0,0.923275947855508,0.8841675788635686,32.0,0.0034490191851692174,36.0,0.0038801465833153696,GUE-NGL,Spain
Morten LØKKEGAARD  This person became MEP later than the general start of the term.,7301,6404.0,0.8771401177920832,0.8541295712916039,22.0,0.003435352904434728,24.0,0.0037476577139287947,ALDE/ADLE,Denmark
Eider GARDIAZABAL RUBIAL,10049,9797.0,0.9749228778982983,0.9616877301224003,33.0,0.003368378074920894,41.0,0.00418495457793202,S&D,Spain
Nathalie GRIESBECK,10049,9871.0,0.9822867947059409,0.9474574584535774,33.0,0.0033431263296525176,35.0,0.0035457400466011547,ALDE/ADLE,France
Syed KAMALL,10049,8468.0,0.8426709125286098,0.7603741665837397,28.0,0.0033065658951346244,28.0,0.0033065658951346244,ECR,United Kingdom
Norbert ERDŐS,10049,9376.0,0.9330281620061698,0.9289481540451786,31.0,0.0033063139931740616,31.0,0.0033063139931740616,EPP,Hungary
Inmaculada RODRÍGUEZ-PIÑERO FERNÁNDEZ,10049,9397.0,0.9351179221813116,0.888745148771022,31.0,0.0032989251888900714,31.0,0.0032989251888900714,S&D,Spain
Inês Cristina ZUBER,2587,2428.0,0.9385388480865868,0.926942404329339,8.0,0.0032948929159802307,11.0,0.004530477759472817,GUE-NGL,Portugal
Jonás FERNÁNDEZ,10049,9732.0,0.968454572594288,0.9272564434272067,32.0,0.0032881216605014385,32.0,0.0032881216605014385,S&D,Spain
